timestamp,substation,Sim GIC (Median),Sim GIC (2.5),Sim GIC (97.5),sub lat,sub lon,site_1_device,site_1_gic,site_1_Latitude,site_1_Longitude,site_1_Distance,site_2_device,site_2_gic,site_2_Latitude,site_2_Longitude,site_2_Distance
2024-05-10 12:00:00,98830488,-0.13913887065548197,-0.20465016559939064,-0.07362757571157331,46.46906864472829,-116.91038018089424,10587,1.8,46.4,-117.0,10.302990051731102,10114,-2.52,46.5,-116.9,3.5300358023568053
2024-05-10 12:01:00,98830488,-0.030034959869445266,-0.054929573167961654,-0.005140346570928881,46.46906864472829,-116.91038018089424,10587,1.5,46.4,-117.0,10.302990051731102,10114,-2.52,46.5,-116.9,3.5300358023568053
2024-05-10 12:02:00,98830488,-0.03935303943409534,-0.06540715999411623,-0.013298918874074465,46.46906864472829,-116.91038018089424,10587,1.9,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:03:00,98830488,-0.0413887257733555,-0.07292740673524209,-0.009850044811468908,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-3.32,46.5,-116.9,3.5300358023568053
2024-05-10 12:04:00,98830488,-0.0630237975568898,-0.1033360144077145,-0.022711580706065104,46.46906864472829,-116.91038018089424,10587,1.4,46.4,-117.0,10.302990051731102,10114,-3.12,46.5,-116.9,3.5300358023568053
2024-05-10 12:05:00,98830488,-0.07455757491460961,-0.11996050097835774,-0.029154648850861484,46.46906864472829,-116.91038018089424,10587,1.9,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:06:00,98830488,-0.01741941176577139,-0.04771196764887928,0.012873144117336494,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:07:00,98830488,-0.01965827718882601,-0.051650358157235135,0.012333803779583121,46.46906864472829,-116.91038018089424,10587,1.7,46.4,-117.0,10.302990051731102,10114,-3.32,46.5,-116.9,3.5300358023568053
2024-05-10 12:08:00,98830488,0.04367177413651166,0.017489471025828332,0.06985407724719499,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:09:00,98830488,-0.12304557675033584,-0.18057205520470493,-0.06551909829596674,46.46906864472829,-116.91038018089424,10587,1.5,46.4,-117.0,10.302990051731102,10114,-2.52,46.5,-116.9,3.5300358023568053
2024-05-10 12:10:00,98830488,-0.13761962651926324,-0.20715465713156844,-0.06808459590695803,46.46906864472829,-116.91038018089424,10587,1.4,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:11:00,98830488,-0.18302704609071552,-0.26926806274178916,-0.09678602943964187,46.46906864472829,-116.91038018089424,10587,1.7,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:12:00,98830488,-0.10764957170695402,-0.1703790531843831,-0.04492009022952495,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.92,46.5,-116.9,3.5300358023568053
2024-05-10 12:13:00,98830488,-0.1756923149589608,-0.2641075325579184,-0.08727709736000314,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.92,46.5,-116.9,3.5300358023568053
2024-05-10 12:14:00,98830488,-0.14717870363895608,-0.2313210853537866,-0.06303632192412555,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.36,46.5,-116.9,3.5300358023568053
2024-05-10 12:15:00,98830488,-0.22638753815122267,-0.3393312153041986,-0.11344386099824676,46.46906864472829,-116.91038018089424,10587,1.5,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:16:00,98830488,-0.167090703677246,-0.2591935088322553,-0.07498789852223668,46.46906864472829,-116.91038018089424,10587,1.5,46.4,-117.0,10.302990051731102,10114,-2.52,46.5,-116.9,3.5300358023568053
2024-05-10 12:17:00,98830488,-0.16623223141853447,-0.25421029277408924,-0.07825417006297967,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.52,46.5,-116.9,3.5300358023568053
2024-05-10 12:18:00,98830488,-0.13081025260087467,-0.20773148398367536,-0.05388902121807397,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:19:00,98830488,-0.21375141172835552,-0.31731977672105494,-0.11018304673565608,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.72,46.5,-116.9,3.5300358023568053
2024-05-10 12:20:00,98830488,-0.12268768385038677,-0.19499296795698623,-0.05038239974378732,46.46906864472829,-116.91038018089424,10587,1.7,46.4,-117.0,10.302990051731102,10114,-2.52,46.5,-116.9,3.5300358023568053
2024-05-10 12:21:00,98830488,-0.10258494555001337,-0.1643129070021407,-0.040856984097886025,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.52,46.5,-116.9,3.5300358023568053
2024-05-10 12:22:00,98830488,-0.01964592897198408,-0.056356056896634824,0.01706419895266666,46.46906864472829,-116.91038018089424,10587,1.6,46.4,-117.0,10.302990051731102,10114,-2.36,46.5,-116.9,3.5300358023568053
