sub_id,Winding,latitude,longitude,Transformer,gannon-year-hazard A/ph,25-year-hazard A/ph,50-year-hazard A/ph,75-year-hazard A/ph,100-year-hazard A/ph,125-year-hazard A/ph,150-year-hazard A/ph,175-year-hazard A/ph,200-year-hazard A/ph,225-year-hazard A/ph,250-year-hazard A/ph,275-year-hazard A/ph,300-year-hazard A/ph,325-year-hazard A/ph,350-year-hazard A/ph,375-year-hazard A/ph,400-year-hazard A/ph,425-year-hazard A/ph,450-year-hazard A/ph,475-year-hazard A/ph,500-year-hazard A/ph,525-year-hazard A/ph,550-year-hazard A/ph,575-year-hazard A/ph,600-year-hazard A/ph,625-year-hazard A/ph,650-year-hazard A/ph,675-year-hazard A/ph,700-year-hazard A/ph,725-year-hazard A/ph,750-year-hazard A/ph,775-year-hazard A/ph,800-year-hazard A/ph,825-year-hazard A/ph,850-year-hazard A/ph,875-year-hazard A/ph,900-year-hazard A/ph,925-year-hazard A/ph,950-year-hazard A/ph,975-year-hazard A/ph,1000-year-hazard A/ph
966500,Common,39.1746670476664,-76.81648126753323,966500_auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966500,HV,39.1746670476664,-76.81648126753323,966500_non_auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966500,LV,39.1746670476664,-76.81648126753323,966500_non_auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966500,Series,39.1746670476664,-76.81648126753323,966500_auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2726409,Common,39.86222630682392,-83.11847061189607,2726409_auto,0.9003557089002135,2.6178328583534545,3.611764530901746,4.3322242408060925,4.852879335763373,5.316346031064264,5.722255757800892,6.0913927551541605,6.420336152256686,6.725075890369614,6.995101225854383,7.242535028556835,7.474356890787519,7.688482366734769,7.895597778138931,8.095565274424219,8.276836604986999,8.452694761097696,8.614342699433507,8.770623171666047,8.916532201894503,9.066750150910105,9.205422025910105,9.345079169762258,9.470617512537148,9.60188608608841,9.722106298755572,9.855371529067607,9.970616061478454,10.09138912750743,10.202872515787519,10.311832513001486,10.414005908710996,10.520026061014116,10.616313962667162,10.728489505943536,10.819576813242943,10.910495797734027,11.00125806788633,11.109592658803864,11.188035440657504
2726409,HV,39.86222630682392,-83.11847061189607,2726409_non_auto,1.1665070585148063,3.3922486448002434,4.680069792056512,5.612310169699663,6.288523051553144,6.885818572815307,7.421219328920285,7.8915796337013475,8.319403916775823,8.708334551599926,9.064342019086826,9.383009493707897,9.683765525589447,9.964019592650637,10.232832309014784,10.484552623269087,10.72078499251497,10.951513964258982,11.16032437078967,11.359937839165418,11.556678634917665,11.745058710703592,11.927242438950225,12.104356228948353,12.272441932541168,12.442638648484282,12.599690511555014,12.763422617655314,12.913563254350674,13.074410992468188,13.217911588931512,13.356533758654566,13.491889999298278,13.633415541962949,13.757514268338323,13.898778127339073,14.022747473802395,14.140130140110404,14.268282039436752,14.388496444610778,14.497835627572979
2726409,LV,39.86222630682392,-83.11847061189607,2726409_non_auto,0.14745117280029965,0.4288656588219954,0.5914241518758371,0.709638624848006,0.7949948758779172,0.8706595451755081,0.9374537349282624,0.9981851122247245,1.0513287057687422,1.1010893477338874,1.146377729887734,1.1867256812795908,1.2250020231850847,1.258247660551064,1.293262799298335,1.3252786977919275,1.3554157411490015,1.3842431111651623,1.4119577245217954,1.4360929294126834,1.4603765417492676,1.4855783910540763,1.507619655060911,1.5309034165017261,1.5511381939767364,1.5720589821210165,1.5909711756704452,1.6151997692169187,1.6334253367326574,1.6534639514402716,1.669762291638794,1.6903694351454694,1.7063381575761798,1.7240359558316762,1.7383709895887418,1.7588429326291926,1.7721245713799656,1.784419872736681,1.8013826187945412,1.8199828930734516,1.831935448226279
2726409,Series,39.86222630682392,-83.11847061189607,2726409_auto,1.179694755293462,3.4308686617756314,4.732484270523774,5.674825002321694,6.364639440936107,6.9635798778789,7.5109337272474,7.981545435549777,8.411305488484398,8.805894780832094,9.165896638187222,9.488954541233284,9.795537123885588,10.07374570486627,10.348970909175334,10.599113112927192,10.840055604569093,11.072683529903417,11.288125116084695,11.487387397845469,11.684536938150075,11.877301379086182,12.063396754271917,12.241795714153046,12.416517691307577,12.582080585995543,12.746807670876672,12.902207350482913,13.057435805163447,13.217830028789004,13.375142203751857,13.495675845096583,13.650921712481427,13.793488229011887,13.91981449665676,14.050618731426448,14.175343030274888,14.308448644130758,14.434928723997029,14.54818675705795,14.662968401745914
3361062,Common,42.33966458983074,-71.03848429092717,3361062_auto,0.16914761950502538,2.3497755659640904,3.9488726458821235,4.949266396491998,5.745993882952772,6.4534924497462915,7.116176632025761,7.741672917886417,8.315641619096409,8.847256781811085,9.377848879049571,9.855384892174083,10.321491083626073,10.759660421545668,11.15608380903591,11.530891698380172,11.894846860362998,12.243213614851678,12.605741669106168,12.956778151834504,13.265158445550352,13.581221640807962,13.905592859582358,14.182901541764247,14.479168191354411,14.73785281274395,15.019240034640905,15.286313487997658,15.573628695843091,15.84517405835285,16.10541843530445,16.382614290593285,16.651730825526933,16.905005854800937,17.154310597189696,17.37494206186573,17.604724702380953,17.84982893003513,18.062957406323186,18.271011721799375,18.4916325136612
3361062,HV,42.33966458983074,-71.03848429092717,3361062_non_auto,0.20361598092517508,2.8194932385735347,4.741868398394305,5.944262146378548,6.901640754584409,7.751425068535754,8.548661105095835,9.297701820516956,9.992435870116108,10.63349965732123,11.26822208751843,11.844495830261703,12.402205526631036,12.924409815011058,13.400531008109104,13.848712362928492,14.293515164255437,14.719764357952451,15.149659912919278,15.569524194848876,15.939602147069664,16.32651239402875,16.709459517830815,17.05120095950055,17.403193967701807,17.713092920659786,18.053463647253963,18.369332121959086,18.718261898728343,19.043487807546995,19.356857462910064,19.689593508109105,20.005292803169922,20.322135320678218,20.622792745576852,20.88015098023406,21.169361782390343,21.448077687292663,21.702425244194618,21.962492512900848,22.221966572981938
3361062,LV,42.33966458983074,-71.03848429092717,3361062_non_auto,0.02390676115080302,0.3294446848214793,0.5547145592344673,0.6951370564194302,0.806246042515227,0.9057579930752263,0.999478071279909,1.088276183323978,1.1683389169678582,1.2435947404415724,1.3180070462325293,1.3847393420100256,1.4501178651729545,1.5125097044270899,1.568569942062032,1.620617644904594,1.6735300939547986,1.72222636460467,1.773819135160759,1.8225214124121352,1.865545580627028,1.9088584691494803,1.957067653586229,1.9945284192341524,2.0364497327250923,2.0732279102212603,2.11159136004875,2.149960571709832,2.19118936159406,2.2281333580256124,2.265984142898766,2.3043355303104187,2.3428338268696933,2.3775717415934423,2.4137677902934565,2.4470726712972444,2.4781150059905652,2.5127412684720425,2.5417697775245283,2.5724150292160677,2.601868352809165
