timestamp,substation,Sim GIC (Median),Sim GIC (2.5),Sim GIC (97.5),sub lat,sub lon,site_1_device,site_1_gic,site_1_Latitude,site_1_Longitude,site_1_Distance
2024-05-10 00:00:00,98699542,-0.275,-0.358837890625,-0.242919921875,34.37763081947609,-88.85889715131363,Union,0.93,34.378,-88.8578,0.10873535755392512
2024-05-10 00:01:00,98699542,1.285,1.2236328125,1.3171875,34.37763081947609,-88.85889715131363,Union,0.91,34.378,-88.8578,0.10873535755392512
2024-05-10 00:02:00,98699542,0.996,0.9419921875,1.022265625,34.37763081947609,-88.85889715131363,Union,0.94,34.378,-88.8578,0.10873535755392512
2024-05-10 00:03:00,98699542,1.459,1.3908203125,1.4978515625,34.37763081947609,-88.85889715131363,Union,0.9,34.378,-88.8578,0.10873535755392512
2024-05-10 00:04:00,98699542,1.179,1.1201171875,1.2068359375,34.37763081947609,-88.85889715131363,Union,0.96,34.378,-88.8578,0.10873535755392512
2024-05-10 00:05:00,98699542,1.414,1.3478515625,1.451171875,34.37763081947609,-88.85889715131363,Union,0.94,34.378,-88.8578,0.10873535755392512
2024-05-10 00:06:00,98699542,1.16,1.1046875,1.1892578125,34.37763081947609,-88.85889715131363,Union,0.9,34.378,-88.8578,0.10873535755392512
2024-05-10 00:07:00,98699542,1.3125,1.2529296875,1.3466796875,34.37763081947609,-88.85889715131363,Union,0.9,34.378,-88.8578,0.10873535755392512
2024-05-10 00:08:00,98699542,1.018,0.96923828125,1.04375,34.37763081947609,-88.85889715131363,Union,0.91,34.378,-88.8578,0.10873535755392512
2024-05-10 00:09:00,98699542,1.103,1.0517578125,1.130859375,34.37763081947609,-88.85889715131363,Union,0.9,34.378,-88.8578,0.10873535755392512
2024-05-10 00:10:00,98699542,0.9204,0.876953125,0.94384765625,34.37763081947609,-88.85889715131363,Union,0.93,34.378,-88.8578,0.10873535755392512
2024-05-10 00:11:00,98699542,0.963,0.9185546875,0.98779296875,34.37763081947609,-88.85889715131363,Union,0.81,34.378,-88.8578,0.10873535755392512
2024-05-10 00:12:00,98699542,0.98,0.93408203125,1.005859375,34.37763081947609,-88.85889715131363,Union,0.63,34.378,-88.8578,0.10873535755392512
2024-05-10 00:13:00,98699542,1.062,1.0126953125,1.088671875,34.37763081947609,-88.85889715131363,Union,0.77,34.378,-88.8578,0.10873535755392512
2024-05-10 00:14:00,98699542,0.958,0.9130859375,0.98330078125,34.37763081947609,-88.85889715131363,Union,0.73,34.378,-88.8578,0.10873535755392512
2024-05-10 00:15:00,98699542,0.911,0.869140625,0.93408203125,34.37763081947609,-88.85889715131363,Union,0.79,34.378,-88.8578,0.10873535755392512
2024-05-10 00:16:00,98699542,0.703,0.67041015625,0.72158203125,34.37763081947609,-88.85889715131363,Union,0.71,34.378,-88.8578,0.10873535755392512
2024-05-10 00:17:00,98699542,0.8555,0.81640625,0.87646484375,34.37763081947609,-88.85889715131363,Union,0.65,34.378,-88.8578,0.10873535755392512
2024-05-10 00:18:00,98699542,0.78,0.7431640625,0.8001953125,34.37763081947609,-88.85889715131363,Union,0.66,34.378,-88.8578,0.10873535755392512
2024-05-10 00:19:00,98699542,0.8003,0.763671875,0.8203125,34.37763081947609,-88.85889715131363,Union,0.55,34.378,-88.8578,0.10873535755392512
2024-05-10 00:20:00,98699542,0.672,0.64111328125,0.689453125,34.37763081947609,-88.85889715131363,Union,0.56,34.378,-88.8578,0.10873535755392512
2024-05-10 00:21:00,98699542,0.6494,0.6197265625,0.6654296875,34.37763081947609,-88.85889715131363,Union,0.5,34.378,-88.8578,0.10873535755392512
2024-05-10 00:22:00,98699542,0.5684,0.5419921875,0.58291015625,34.37763081947609,-88.85889715131363,Union,0.54,34.378,-88.8578,0.10873535755392512
2024-05-10 00:23:00,98699542,0.5967,0.5693359375,0.611328125,34.37763081947609,-88.85889715131363,Union,0.49,34.378,-88.8578,0.10873535755392512
2024-05-10 00:24:00,98699542,0.567,0.541015625,0.58193359375,34.37763081947609,-88.85889715131363,Union,0.44,34.378,-88.8578,0.10873535755392512
2024-05-10 00:25:00,98699542,0.549,0.5234375,0.5625,34.37763081947609,-88.85889715131363,Union,0.42,34.378,-88.8578,0.10873535755392512
2024-05-10 00:26:00,98699542,0.506,0.482421875,0.5189453125,34.37763081947609,-88.85889715131363,Union,0.36,34.378,-88.8578,0.10873535755392512
2024-05-10 00:27:00,98699542,0.581,0.55419921875,0.59521484375,34.37763081947609,-88.85889715131363,Union,0.34,34.378,-88.8578,0.10873535755392512
2024-05-10 00:28:00,98699542,0.503,0.47998046875,0.515625,34.37763081947609,-88.85889715131363,Union,0.32,34.378,-88.8578,0.10873535755392512
2024-05-10 00:29:00,98699542,0.52,0.496142578125,0.53271484375,34.37763081947609,-88.85889715131363,Union,0.3,34.378,-88.8578,0.10873535755392512
2024-05-10 00:30:00,98699542,0.4102,0.391162109375,0.420361328125,34.37763081947609,-88.85889715131363,Union,0.3,34.378,-88.8578,0.10873535755392512
2024-05-10 00:31:00,98699542,0.508,0.484912109375,0.52001953125,34.37763081947609,-88.85889715131363,Union,0.29,34.378,-88.8578,0.10873535755392512
2024-05-10 00:32:00,98699542,0.3767,0.359619140625,0.385986328125,34.37763081947609,-88.85889715131363,Union,0.26,34.378,-88.8578,0.10873535755392512
2024-05-10 00:33:00,98699542,0.4048,0.38623046875,0.4142578125,34.37763081947609,-88.85889715131363,Union,0.39,34.378,-88.8578,0.10873535755392512
