timestamp,substation,Sim GIC (Median),Sim GIC (2.5),Sim GIC (97.5),sub lat,sub lon,site_1_device,site_1_gic,site_1_Latitude,site_1_Longitude,site_1_Distance
2024-05-10 00:00:00,1210590700,9.94,8.571875,10.46875,36.04661170900899,-86.60573426280767,Pinhook,0.03,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:01:00,1210590700,2.31,1.9943359375,2.434765625,36.04661170900899,-86.60573426280767,Pinhook,-0.01,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:02:00,1210590700,3.287,2.837890625,3.44921875,36.04661170900899,-86.60573426280767,Pinhook,-0.06,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:03:00,1210590700,1.176,1.0126953125,1.234375,36.04661170900899,-86.60573426280767,Pinhook,-0.01,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:04:00,1210590700,1.8545,1.5986328125,1.9412109375,36.04661170900899,-86.60573426280767,Pinhook,-0.06,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:05:00,1210590700,0.7427,0.63935546875,0.78544921875,36.04661170900899,-86.60573426280767,Pinhook,0.01,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:06:00,1210590700,1.261,1.08515625,1.3181640625,36.04661170900899,-86.60573426280767,Pinhook,0.03,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:07:00,1210590700,0.4954,0.42568359375,0.5267578125,36.04661170900899,-86.60573426280767,Pinhook,0.06,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:08:00,1210590700,0.847,0.72900390625,0.88701171875,36.04661170900899,-86.60573426280767,Pinhook,0.06,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:09:00,1210590700,0.3916,0.336767578125,0.4162109375,36.04661170900899,-86.60573426280767,Pinhook,0.02,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:10:00,1210590700,0.7246,0.6236328125,0.7591796875,36.04661170900899,-86.60573426280767,Pinhook,-0.01,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:11:00,1210590700,0.3591,0.309326171875,0.380810546875,36.04661170900899,-86.60573426280767,Pinhook,0.03,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:12:00,1210590700,0.6733,0.58017578125,0.7060546875,36.04661170900899,-86.60573426280767,Pinhook,0.1,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:13:00,1210590700,0.2922,0.250927734375,0.31430664062499997,36.04661170900899,-86.60573426280767,Pinhook,0.07,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:14:00,1210590700,0.586,0.50498046875,0.61708984375,36.04661170900899,-86.60573426280767,Pinhook,0.06,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:15:00,1210590700,0.2617,0.2251220703125,0.280419921875,36.04661170900899,-86.60573426280767,Pinhook,0.02,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:16:00,1210590700,0.3833,0.33017578125,0.40205078125,36.04661170900899,-86.60573426280767,Pinhook,0.05,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:17:00,1210590700,0.11975,0.10260009765625,0.1332763671875,36.04661170900899,-86.60573426280767,Pinhook,0.04,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:18:00,1210590700,0.378,0.325341796875,0.39833984375,36.04661170900899,-86.60573426280767,Pinhook,0.01,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:19:00,1210590700,0.1636,0.140380859375,0.176708984375,36.04661170900899,-86.60573426280767,Pinhook,0.05,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:20:00,1210590700,0.2922,0.251806640625,0.30849609375,36.04661170900899,-86.60573426280767,Pinhook,-0.02,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:21:00,1210590700,0.05774,0.049285888671875,0.0663330078125,36.04661170900899,-86.60573426280767,Pinhook,-0.02,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:22:00,1210590700,0.2495,0.214990234375,0.262109375,36.04661170900899,-86.60573426280767,Pinhook,-0.02,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:23:00,1210590700,0.10944,0.09395751953125,0.11801757812499998,36.04661170900899,-86.60573426280767,Pinhook,-0.06,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:24:00,1210590700,0.3079,0.265185546875,0.32275390625,36.04661170900899,-86.60573426280767,Pinhook,-0.03,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:25:00,1210590700,0.215,0.185205078125,0.2261474609375,36.04661170900899,-86.60573426280767,Pinhook,-0.02,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:26:00,1210590700,0.324,0.279150390625,0.33955078125,36.04661170900899,-86.60573426280767,Pinhook,-0.04,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:27:00,1210590700,0.1467,0.126416015625,0.1559814453125,36.04661170900899,-86.60573426280767,Pinhook,-0.05,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:28:00,1210590700,0.1763,0.152099609375,0.185302734375,36.04661170900899,-86.60573426280767,Pinhook,-0.05,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:29:00,1210590700,0.04462,0.038299560546875,0.0501708984375,36.04661170900899,-86.60573426280767,Pinhook,0.03,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:30:00,1210590700,0.2228,0.192041015625,0.23381347656249998,36.04661170900899,-86.60573426280767,Pinhook,-0.08,36.0465,-86.6059,0.019399051644353293
2024-05-10 00:31:00,1210590700,0.01264,0.00870819091796875,0.0177886962890625,36.04661170900899,-86.60573426280767,Pinhook,-0.03,36.0465,-86.6059,0.019399051644353293
