Timestamp,Bn_msph,Be_msph,Bd_msph,Bparan_msph,Bparae_msph,Bparad_msph,Bperpn_msph,Bperpe_msph,Bperpd_msph,Bperpphin_msph,Bperpphie_msph,Bperpphid_msph,Bperpresn_msph,Bperprese_msph,Bperpresd_msph,Bx_msph,By_msph,Bz_msph,Bn_gap,Be_gap,Bd_gap,Bx_gap,By_gap,Bz_gap,Bnp_iono,Bep_iono,Bdp_iono,Bxp_iono,Byp_iono,Bzp_iono,Bnh_iono,Beh_iono,Bdh_iono,Bxh_iono,Byh_iono,Bzh_iono,Datetime
2024-05-10 00:00:00,1.6439373823450154,-4.9197693859472444,0.10336471614963717,8.51058575764064,-0.20101201525540227,1.286701118464334,-6.8666483753905645,-4.718757369331107,-1.183336402261207,-4.17542275140484,-2.141947633716753,2.2725495496209027,-2.691225623108745,-2.576809735449537,-3.4558859520767835,5.039707407387032,-0.5762812727740322,1.0893091090677773,,,,,,,,,,,,,,,,,,,2024-05-10 00:00:00
2024-05-10 00:01:00,1.9487542244224219,-4.862570797005877,-0.23170335240690743,8.097170471709386,-0.17092009249142187,1.5304576393519742,-6.148416245863756,-4.691650704218495,-1.7621609943180139,-3.5609704162383644,-2.0211729168794013,1.6232747803010024,-2.587445829209723,-2.6704777885817097,-3.3854357747946535,4.982532636658535,-0.5414957034120076,1.5417766227421164,-0.1779994439174713,-1.1510931572020557,-0.011519726715533057,1.1221663058971587,0.2893406790165205,-0.11771455335390596,-0.8529193648019966,0.946772436152352,-0.6338686255396947,-1.0809745,0.9127717,-0.15485787,-1.1591701059680672,-0.29153314877349745,0.7317672916760035,0.24770972,0.33910838,-1.3370848,2024-05-10 00:01:00
2024-05-10 00:02:00,2.1386210184352437,-4.613196980363574,-0.27462790124397607,8.012673113529008,0.09801397280809877,1.5492185564618492,-5.874052095761783,-4.711210955473605,-1.8238464581766438,-3.402505895365504,-1.9841552569843095,1.462931975482213,-2.471546200028135,-2.7270556980896687,-3.2867784330072194,4.7524454263050995,-0.6582033836268883,1.7063814052093185,-0.1916991844750363,-0.5868733891502119,-0.030518984280717282,0.5590412275534676,0.23787583708893628,-0.11396645404384005,-0.568823766352444,0.8156123916109598,-0.009345411007739723,-0.86488265,0.29043415,-0.39559752,-0.4950329056078173,-0.1554733527465168,0.7991047561769749,0.1840824,-0.19105643,-0.9151006,2024-05-10 00:02:00
2024-05-10 00:03:00,1.5552175587438923,-4.342068709836691,-0.5816244212303162,7.96959659231612,0.4841801119151871,1.6820493493191193,-6.4143790345044955,-4.8262488219474085,-2.263673769138951,-3.4375183266204625,-1.9868261837783037,1.523196825821611,-2.9768607082610967,-2.8394226383774903,-3.7868705949987587,4.395979460351352,-0.054181274031998836,1.5109527712847217,-0.07261626403094257,0.4741504178963475,-0.08683168226319528,-0.4854625209016937,0.04308722184600085,0.010055533358062354,-0.03062897696631289,0.5737253264475771,1.048457389986564,-0.46377265,-0.79500115,-0.763053,0.6806320784239402,0.02120124313351225,0.816165834118764,0.13187495,-1.0503589,-0.09587171,2024-05-10 00:03:00
2024-05-10 00:04:00,1.5105276025405938,-3.989361490111596,-0.8043759010287291,7.904660897901888,0.8440468082378486,1.800805488770258,-6.394133294991226,-4.833408298691292,-2.605181390767805,-3.2627043694213165,-1.897162023699331,1.3485997573655006,-3.1314289256790593,-2.936246275483888,-3.9537811483366925,4.019275197432872,0.09905127665389375,1.6368674530555025,-0.036431242682145704,1.1759150135127503,-0.10959372770982148,-1.1782015559558658,-0.07265332238906767,0.05173710361431917,0.28947289047677804,0.4763397346659009,1.732329694531012,-0.2585885,-1.4845127,-1.0203011,1.3605865864705675,0.14637026726043917,0.8041810286648768,0.082747445,-1.535489,0.39338753,2024-05-10 00:04:00
2024-05-10 00:05:00,1.6002368086731362,-3.6813163942135354,-1.4807822098965773,7.982418930632363,1.239792330318138,1.412400812918879,-6.382182122116131,-4.921108723626065,-2.8931830225138957,-3.118149707043806,-1.866137021916521,1.2119991523559497,-3.264032415620581,-3.0549717007528194,-4.105182174944099,3.6510005729436017,0.4789907418345084,2.17860663656527,0.002865839396544997,1.5752642750545134,-0.1369926413742838,-1.5712562060045911,-0.14698927957109353,0.0988980276466602,0.4559024305742952,0.509165627334786,2.1447715031834367,-0.22218364,-1.8951229,-1.1942718,1.7456776052651366,0.17917296163338173,0.8612487167639109,0.104618326,-1.849126,0.6253245,2024-05-10 00:05:00
2024-05-10 00:06:00,1.954869776851368,-3.389263263284721,-1.6448024359665856,8.059252549693479,1.5163200482722994,1.470713965615672,-6.104382773509635,-4.905583310146288,-3.11551640257609,-2.8794322134779535,-1.7844481943514885,0.9630601598991541,-3.224950558678859,-3.1211351159447167,-4.078576562618849,3.38166801959138,0.31549157611108314,2.545345327521549,0.047127520925075335,1.8589157202077886,-0.16572100218361732,-1.8490279793773305,-0.20903241962982994,0.15050942712139925,0.5715677152478782,0.5603283942102177,2.414715487407355,-0.22186655,-2.1733623,-1.3033726,2.0192821673703514,0.1894537606306212,0.9069818815756671,0.1377568,-2.0732908,0.78644615,2024-05-10 00:06:00
2024-05-10 00:07:00,2.360731527199018,-3.1657576993673078,-1.001291710557733,8.068667153077957,1.6608640604182165,2.0313839838828156,-5.707935627520211,-4.826621760474484,-3.0326756942164805,-2.728565823455958,-1.7100774958058795,0.8056752949110435,-2.9793698047160917,-3.116544264638008,-3.838350989435769,3.2793172799388497,-0.43851007888545723,2.3772772939766127,0.09032475937174032,2.0392023205587972,-0.19071759801743,-2.0239797005502367,-0.25863235257702355,0.19872932969879617,0.6473034931346827,0.6097732752719023,2.579634187333422,-0.23402038,-2.3501942,-1.3664404,2.213033551910592,0.20295703897501985,0.939848706997952,0.15904832,-2.2330165,0.9002031,2024-05-10 00:07:00
2024-05-10 00:08:00,2.7049360346417823,-3.0548706972669786,-1.3687789333442297,8.16126887726428,1.7912208232323654,1.9742670621715552,-5.456332842335441,-4.846091519537194,-3.3430459961205248,-2.467068011926155,-1.6322954901646745,0.526954552009072,-2.9892648300249807,-3.213796029136913,-3.870000547652123,3.169066783449443,-0.42672149157806727,2.8805197773238427,0.03371575302781147,1.9711329946330132,-0.17272788767589387,-1.9602490404729458,-0.2290200991077199,0.1459809961731432,0.5754482755265716,0.679691012185986,2.5051880816815215,-0.3101176,-2.2607007,-1.3646052,2.108902681517175,0.2192988093911436,0.9773410224040181,0.14460373,-2.1885495,0.8000617,2024-05-10 00:08:00
2024-05-10 00:09:00,3.020182457860895,-3.1435781264823404,-1.806958304959393,8.179875753460312,1.9075541616757243,2.025192901726429,-5.159693295195481,-5.051132286987636,-3.832151207320018,-2.118700223404974,-1.619598092374979,0.1461841336111256,-3.040993071590682,-3.431534194291514,-3.9783353406548025,3.243535356487619,-0.31259474106102114,3.4132750769614733,0.10756445223176686,1.945665006479114,-0.2112361359433795,-1.9299241080073806,-0.25763938145450715,0.22542852615682,0.5802482638128684,0.7686356717108612,2.521525101660525,-0.3856553,-2.2918043,-1.3727639,2.1364680282289643,0.179380306999585,1.033422766179308,0.20324773,-2.2394395,0.7798953,2024-05-10 00:09:00
